Violation_ID,Violation_Type,Fine_Amount,Location,Date,Time,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Helmet_Worn,Seatbelt_Worn,Driver_Age,Driver_Gender,Number_of_Passengers,Penalty_Points,Weather_Condition,Road_Condition,Officer_ID,License_Type,Issuing_Agency,License_Validity,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Fine_Paid,Payment_Method,Court_Appearance_Required,Previous_Violations,Comments
VLT000001,Driving Without License,4922,Delhi,2020-01-01,06:57:45,Tractor,Black,2010,Tamil Nadu,NA,NA,69,Male,0,7,Clear,Wet,OFF4033,Learner,Special Task Force,Valid,Yellow,109,130,0.02,Negative,Yes,No,Pending,Yes,18,First Violation
VLT000002,Red Light Violation,3383,Tamil Nadu,2020-01-01,18:01:56,Electric Scooter,Black,2010,West Bengal,No,NA,51,Male,0,7,Rainy,Potholes,OFF4956,Permanent,Special Task Force,Expired,Red,22,82,0.14,Positive,No,No,Pending,No,9,Fine Paid On Spot
VLT000003,Mobile Phone Usage,4776,Tamil Nadu,2020-01-01,21:26:29,E-Rickshaw,Green,1995,Gujarat,NA,NA,71,Male,2,7,Rainy,Wet,OFF2291,Permanent,Special Task Force,Valid,Yellow,95,142,0.02,Negative,No,No,Pending,No,19,Repeat Offender
VLT000004,Red Light Violation,3383,Chandigarh,2020-01-01,07:53:40,Van,Other,2020,Telangana,NA,Yes,18,Male,7,2,Foggy,Dry,OFF2277,Commercial,Highway Patrol,Cancelled,Red,69,154,0.02,Negative,No,No,Pending,No,11,Repeat Offender
VLT000005,Overspeeding,3662,Andhra Pradesh,2020-01-01,15:58:36,Electric Scooter,Yellow,1990,Tamil Nadu,No,NA,67,Female,0,0,Windy,Dry,OFF2067,Learner,Highway Patrol,Expired,Red,115,114,0.02,Negative,No,No,Pending,No,5,Repeat Offender
VLT000006,Mobile Phone Usage,4776,Uttarakhand,2020-01-01,20:08:45,Truck,Blue,2003,West Bengal,NA,Yes,25,Male,3,1,Rainy,Dry,OFF6337,Commercial,Special Task Force,Valid,Yellow,63,64,0.0,Not Applied,No,No,Pending,No,6,First Violation
VLT000007,Overspeeding,3662,Telangana,2020-01-02,15:19:20,Car,Grey,2007,Delhi,NA,No,30,Male,2,3,Clear,Wet,OFF5288,Permanent,City Traffic Police,Suspended,Green,83,92,0.02,Negative,No,Yes,Online,No,8,Repeat Offender
VLT000008,Overspeeding,3662,Uttar Pradesh,2020-01-02,15:34:07,Van,Blue,2008,Delhi,NA,Yes,28,Male,7,7,Windy,Dry,OFF5828,Commercial,Special Task Force,Expired,Yellow,76,75,0.02,Negative,No,No,Pending,No,13,First Violation
VLT000009,Drunk Driving,1248,Rajasthan,2020-01-02,20:04:22,Bus,White,2016,Andhra Pradesh,NA,Yes,69,Other,37,4,Clear,Dry,OFF8267,Commercial,RTO Enforcement,Cancelled,Red,115,121,0.0,Not Applied,No,Yes,Online,Yes,17,Repeat Offender
VLT000010,Wrong Lane,2617,Delhi,2020-01-02,12:35:30,Motorcycle,Orange,2012,Bihar,Yes,NA,43,Male,1,7,Windy,Potholes,OFF2888,Permanent,RTO Enforcement,Valid,Green,76,57,0.0,Not Applied,No,Yes,Online,No,7,Fine Paid On Spot
VLT000011,Driving Without License,4922,Uttar Pradesh,2020-01-03,22:10:52,Motorcycle,White,2017,Tamil Nadu,Yes,NA,38,Male,1,1,Clear,Dry,OFF5887,Commercial,Special Task Force,Cancelled,Red,92,12,0.02,Negative,Yes,No,Pending,Yes,4,Warning Issued
VLT000012,Mobile Phone Usage,4776,Ladakh,2020-01-03,23:30:15,Motorcycle,Green,2017,Bihar,Yes,NA,41,Female,1,6,Clear,Potholes,OFF5376,Permanent,City Traffic Police,Expired,Yellow,78,97,0.0,Not Applied,No,No,Pending,No,14,First Violation
VLT000013,Red Light Violation,3383,Andhra Pradesh,2020-01-03,10:01:18,Electric Scooter,Green,2006,Uttar Pradesh,No,NA,68,Male,0,3,Clear,Wet,OFF4260,Learner,Special Task Force,Valid,Red,99,107,0.02,Negative,No,Yes,Online,No,9,Repeat Offender
VLT000014,Red Light Violation,3383,Tamil Nadu,2020-01-03,02:54:28,Pickup,Orange,2010,West Bengal,NA,Yes,52,Other,3,0,Clear,Dry,OFF6174,Permanent,RTO Enforcement,Expired,Red,50,123,0.0,Not Applied,No,No,Pending,No,5,First Violation
VLT000015,Drunk Driving,1248,Gujarat,2020-01-03,14:30:34,E-Rickshaw,Grey,2006,Uttar Pradesh,NA,NA,75,Female,2,1,Windy,Potholes,OFF9288,Permanent,Highway Patrol,Expired,Red,79,58,0.02,Negative,No,No,Pending,Yes,9,First Violation
VLT000016,Drunk Driving,1248,Lakshadweep,2020-01-03,16:43:57,Scooty,Black,2007,Jammu & Kashmir,No,NA,60,Male,0,1,Rainy,Wet,OFF2583,Commercial,City Traffic Police,Valid,Green,75,131,0.0,Not Applied,No,No,Pending,Yes,0,First Violation
